Day,Date,Month,Season,Year,Hour,RestMH,MUMBAI,MH_STATE
1,1,1,1,2013,1,11289,1652,12941
1,1,1,1,2013,2,11116,1525,12641
1,1,1,1,2013,3,11019,1441,12460
1,1,1,1,2013,4,10889,1391,12280
1,1,1,1,2013,5,11201,1373,12574
1,1,1,1,2013,6,11865,1455,13320
1,1,1,1,2013,7,12951,1535,14486
1,1,1,1,2013,8,13526,1636,15162
1,1,1,1,2013,9,13535,1817,15352
1,1,1,1,2013,10,13716,2089,15805
1,1,1,1,2013,11,13944,2278,16222
1,1,1,1,2013,12,13930,2348,16278
1,1,1,1,2013,13,13632,2347,15979
1,1,1,1,2013,14,13299,2248,15547
1,1,1,1,2013,15,13332,2227,15559
1,1,1,1,2013,16,13418,2198,15616
1,1,1,1,2013,17,12795,2188,14983
1,1,1,1,2013,18,11790,2183,13973
1,1,1,1,2013,19,12202,2290,14492
1,1,1,1,2013,20,12085,2330,14415
1,1,1,1,2013,21,11691,2253,13944
1,1,1,1,2013,22,11226,2112,13338
1,1,1,1,2013,23,11379,1948,13327
1,1,1,1,2013,24,11160,1743,12903
1,2,1,1,2013,1,11143,1621,12764
1,2,1,1,2013,2,11019,1478,12497
1,2,1,1,2013,3,10789,1413,12202
1,2,1,1,2013,4,10933,1387,12320
1,2,1,1,2013,5,10942,1392,12334
1,2,1,1,2013,6,12128,1496,13624
1,2,1,1,2013,7,12980,1650,14630
1,2,1,1,2013,8,13229,1800,15029
1,2,1,1,2013,9,13566,2062,15628
1,2,1,1,2013,10,13828,2333,16161
1,2,1,1,2013,11,14061,2537,16598
1,2,1,1,2013,12,13901,2566,16467
1,2,1,1,2013,13,13646,2544,16190
1,2,1,1,2013,14,13126,2445,15571
1,2,1,1,2013,15,13331,2460,15791
1,2,1,1,2013,16,13395,2434,15829
1,2,1,1,2013,17,13035,2417,15452
1,2,1,1,2013,18,12076,2388,14464
1,2,1,1,2013,19,12529,2517,15046
1,2,1,1,2013,20,12239,2448,14687
1,2,1,1,2013,21,11810,2273,14083
1,2,1,1,2013,22,11280,2097,13377
1,2,1,1,2013,23,11295,1883,13178
1,2,1,1,2013,24,10964,1665,12629
1,3,1,1,2013,1,11080,1544,12624
1,3,1,1,2013,2,10951,1418,12369
1,3,1,1,2013,3,11019,1347,12366
1,3,1,1,2013,4,11052,1298,12350
1,3,1,1,2013,5,11050,1305,12355
1,3,1,1,2013,6,11990,1418,13408
1,3,1,1,2013,7,12757,1573,14330
1,3,1,1,2013,8,13716,1716,15432
1,3,1,1,2013,9,13917,1961,15878
1,3,1,1,2013,10,14074,2235,16309
1,3,1,1,2013,11,14258,2406,16664
1,3,1,1,2013,12,13756,2426,16182
1,3,1,1,2013,13,13844,2394,16238
1,3,1,1,2013,14,13486,2297,15783
1,3,1,1,2013,15,13595,2313,15908
1,3,1,1,2013,16,13626,2314,15940
1,3,1,1,2013,17,13174,2306,15480
1,3,1,1,2013,18,12312,2298,14610
1,3,1,1,2013,19,12643,2384,15027
1,3,1,1,2013,20,12360,2365,14725
1,3,1,1,2013,21,11851,2212,14063
1,3,1,1,2013,22,11630,2033,13663
1,3,1,1,2013,23,11616,1841,13457
1,3,1,1,2013,24,11373,1613,12986
1,4,1,1,2013,1,11158,1449,12607
1,4,1,1,2013,2,10870,1325,12195
1,4,1,1,2013,3,10913,1259,12172
1,4,1,1,2013,4,10982,1240,12222
1,4,1,1,2013,5,11218,1237,12455
1,4,1,1,2013,6,11983,1358,13341
1,4,1,1,2013,7,12683,1525,14208
1,4,1,1,2013,8,13152,1659,14811
1,4,1,1,2013,9,13180,1912,15092
1,4,1,1,2013,10,13347,2195,15542
1,4,1,1,2013,11,13020,2344,15364
1,4,1,1,2013,12,13194,2393,15587
1,4,1,1,2013,13,13099,2375,15474
1,4,1,1,2013,14,12827,2271,15098
1,4,1,1,2013,15,12630,2269,14899
1,4,1,1,2013,16,12408,2274,14682
1,4,1,1,2013,17,12211,2282,14493
1,4,1,1,2013,18,11240,2252,13492
1,4,1,1,2013,19,12016,2355,14371
1,4,1,1,2013,20,12076,2327,14403
1,4,1,1,2013,21,11504,2184,13688
1,4,1,1,2013,22,11264,2000,13264
1,4,1,1,2013,23,11333,1823,13156
1,4,1,1,2013,24,10681,1628,12309
2,5,1,1,2013,1,10854,1428,12282
2,5,1,1,2013,2,10838,1298,12136
2,5,1,1,2013,3,10848,1224,12072
2,5,1,1,2013,4,10910,1187,12097
2,5,1,1,2013,5,11075,1197,12272
2,5,1,1,2013,6,11594,1300,12894
2,5,1,1,2013,7,12328,1426,13754
2,5,1,1,2013,8,13230,1545,14775
2,5,1,1,2013,9,13394,1767,15161
2,5,1,1,2013,10,13706,2024,15730
2,5,1,1,2013,11,13814,2213,16027
2,5,1,1,2013,12,14057,2249,16306
2,5,1,1,2013,13,13079,2229,15308
2,5,1,1,2013,14,13064,2082,15146
2,5,1,1,2013,15,13183,2083,15266
2,5,1,1,2013,16,13225,2053,15278
2,5,1,1,2013,17,12658,2054,14712
2,5,1,1,2013,18,11783,2038,13821
2,5,1,1,2013,19,12363,2160,14523
2,5,1,1,2013,20,12348,2134,14482
2,5,1,1,2013,21,12290,2071,14361
2,5,1,1,2013,22,11746,1919,13665
2,5,1,1,2013,23,11399,1742,13141
2,5,1,1,2013,24,11359,1561,12920
2,6,1,1,2013,1,11108,1351,12459
2,6,1,1,2013,2,11000,1224,12224
2,6,1,1,2013,3,11053,1162,12215
2,6,1,1,2013,4,11059,1124,12183
2,6,1,1,2013,5,11304,1132,12436
2,6,1,1,2013,6,11526,1218,12744
2,6,1,1,2013,7,12228,1309,13537
2,6,1,1,2013,8,13046,1379,14425
2,6,1,1,2013,9,13429,1498,14927
2,6,1,1,2013,10,13724,1647,15371
2,6,1,1,2013,11,14207,1756,15963
2,6,1,1,2013,12,14083,1761,15844
2,6,1,1,2013,13,13591,1755,15346
2,6,1,1,2013,14,13085,1683,14768
2,6,1,1,2013,15,13086,1598,14684
2,6,1,1,2013,16,12948,1526,14474
2,6,1,1,2013,17,12398,1529,13927
2,6,1,1,2013,18,11671,1579,13250
2,6,1,1,2013,19,12220,1766,13986
2,6,1,1,2013,20,12373,1845,14218
2,6,1,1,2013,21,12010,1781,13791
2,6,1,1,2013,22,11478,1717,13195
2,6,1,1,2013,23,10907,1579,12486
2,6,1,1,2013,24,10860,1399,12259
1,8,1,1,2013,1,10964,1326,12290
1,8,1,1,2013,2,10806,1202,12008
1,8,1,1,2013,3,10730,1142,11872
1,8,1,1,2013,4,10677,1112,11789
1,8,1,1,2013,5,10952,1124,12076
1,8,1,1,2013,6,11867,1257,13124
1,8,1,1,2013,7,12495,1485,13980
1,8,1,1,2013,8,13501,1646,15147
1,8,1,1,2013,9,13731,1874,15605
1,8,1,1,2013,10,13979,2133,16112
1,8,1,1,2013,11,13967,2302,16269
1,8,1,1,2013,12,13909,2313,16222
1,8,1,1,2013,13,13700,2307,16007
1,8,1,1,2013,14,13308,2232,15540
1,8,1,1,2013,15,13305,2258,15563
1,8,1,1,2013,16,13191,2257,15448
1,8,1,1,2013,17,12815,2244,15059
1,8,1,1,2013,18,12148,2222,14370
1,8,1,1,2013,19,12443,2298,14741
1,8,1,1,2013,20,12297,2301,14598
1,8,1,1,2013,21,12040,2172,14212
1,8,1,1,2013,22,11342,1999,13341
1,8,1,1,2013,23,11452,1814,13266
1,8,1,1,2013,24,11151,1576,12727
1,9,1,1,2013,1,11114,1377,12491
1,9,1,1,2013,2,11115,1256,12371
1,9,1,1,2013,3,10990,1201,12191
1,9,1,1,2013,4,10934,1173,12107
1,9,1,1,2013,5,11376,1183,12559
1,9,1,1,2013,6,11817,1325,13142
1,9,1,1,2013,7,12621,1530,14151
1,9,1,1,2013,8,13762,1685,15447
1,9,1,1,2013,9,13880,1935,15815
1,9,1,1,2013,10,14095,2210,16305
1,9,1,1,2013,11,14016,2389,16405
1,9,1,1,2013,12,13908,2422,16330
1,9,1,1,2013,13,13760,2406,16166
1,9,1,1,2013,14,13484,2314,15798
1,9,1,1,2013,15,13320,2348,15668
1,9,1,1,2013,16,13563,2355,15918
1,9,1,1,2013,17,13181,2362,15543
1,9,1,1,2013,18,12363,2336,14699
1,9,1,1,2013,19,12728,2403,15131
1,9,1,1,2013,20,12351,2408,14759
1,9,1,1,2013,21,11842,2318,14160
1,9,1,1,2013,22,11187,2158,13345
1,9,1,1,2013,23,11062,1913,12975
1,9,1,1,2013,24,11245,1691,12936
1,10,1,1,2013,1,11125,1472,12597
1,10,1,1,2013,2,11066,1346,12412
1,10,1,1,2013,3,11102,1279,12381
1,10,1,1,2013,4,11062,1252,12314
1,10,1,1,2013,5,11261,1254,12515
1,10,1,1,2013,6,11776,1387,13163
1,10,1,1,2013,7,12834,1579,14413
1,10,1,1,2013,8,13842,1755,15597
1,10,1,1,2013,9,14006,1980,15986
1,10,1,1,2013,10,14146,2262,16408
1,10,1,1,2013,11,14272,2452,16724
1,10,1,1,2013,12,14142,2477,16619
1,10,1,1,2013,13,14011,2460,16471
1,10,1,1,2013,14,13547,2329,15876
1,10,1,1,2013,15,13518,2343,15861
1,10,1,1,2013,16,13418,2324,15742
1,10,1,1,2013,17,13074,2319,15393
1,10,1,1,2013,18,12345,2298,14643
1,10,1,1,2013,19,12629,2346,14975
1,10,1,1,2013,20,12277,2347,14624
1,10,1,1,2013,21,11789,2214,14003
1,10,1,1,2013,22,11141,2038,13179
1,10,1,1,2013,23,11495,1841,13336
1,10,1,1,2013,24,11374,1613,12987
1,11,1,1,2013,1,11279,1445,12724
1,11,1,1,2013,2,10956,1307,12263
1,11,1,1,2013,3,10789,1251,12040
1,11,1,1,2013,4,10924,1220,12144
1,11,1,1,2013,5,11073,1224,12297
1,11,1,1,2013,6,11977,1350,13327
1,11,1,1,2013,7,12891,1556,14447
1,11,1,1,2013,8,13313,1721,15034
1,11,1,1,2013,9,13468,1973,15441
1,11,1,1,2013,10,13793,2245,16038
1,11,1,1,2013,11,13741,2430,16171
1,11,1,1,2013,12,13620,2477,16097
1,11,1,1,2013,13,13350,2470,15820
1,11,1,1,2013,14,13029,2341,15370
1,11,1,1,2013,15,12788,2378,15166
1,11,1,1,2013,16,12780,2374,15154
1,11,1,1,2013,17,12122,2382,14504
1,11,1,1,2013,18,11574,2342,13916
1,11,1,1,2013,19,11944,2400,14344
1,11,1,1,2013,20,11881,2397,14278
1,11,1,1,2013,21,11386,2252,13638
1,11,1,1,2013,22,10866,2048,12914
1,11,1,1,2013,23,10639,1877,12516
1,11,1,1,2013,24,10973,1711,12684
2,12,1,1,2013,1,10785,1511,12296
2,12,1,1,2013,2,10888,1371,12259
2,12,1,1,2013,3,10657,1308,11965
2,12,1,1,2013,4,10845,1286,12131
2,12,1,1,2013,5,10994,1286,12280
2,12,1,1,2013,6,11482,1395,12877
2,12,1,1,2013,7,12338,1501,13839
2,12,1,1,2013,8,13538,1607,15145
2,12,1,1,2013,9,13877,1830,15707
2,12,1,1,2013,10,14135,2105,16240
2,12,1,1,2013,11,14151,2302,16453
2,12,1,1,2013,12,14290,2328,16618
2,12,1,1,2013,13,14071,2324,16395
2,12,1,1,2013,14,13615,2207,15822
2,12,1,1,2013,15,13566,2190,15756
2,12,1,1,2013,16,13817,2162,15979
2,12,1,1,2013,17,13155,2149,15304
2,12,1,1,2013,18,12180,2141,14321
2,12,1,1,2013,19,12725,2269,14994
2,12,1,1,2013,20,12287,2310,14597
2,12,1,1,2013,21,11780,2183,13963
2,12,1,1,2013,22,11597,2038,13635
2,12,1,1,2013,23,11184,1881,13065
2,12,1,1,2013,24,11070,1712,12782
2,13,1,1,2013,1,11108,1505,12613
2,13,1,1,2013,2,10987,1386,12373
2,13,1,1,2013,3,10931,1325,12256
2,13,1,1,2013,4,10940,1281,12221
2,13,1,1,2013,5,11233,1279,12512
2,13,1,1,2013,6,11791,1350,13141
2,13,1,1,2013,7,12685,1412,14097
2,13,1,1,2013,8,13448,1498,14946
2,13,1,1,2013,9,13954,1574,15528
2,13,1,1,2013,10,14008,1715,15723
2,13,1,1,2013,11,14709,1833,16542
2,13,1,1,2013,12,14256,1856,16112
2,13,1,1,2013,13,13920,1853,15773
2,13,1,1,2013,14,13418,1780,15198
2,13,1,1,2013,15,13493,1708,15201
2,13,1,1,2013,16,13573,1663,15236
2,13,1,1,2013,17,12953,1658,14611
2,13,1,1,2013,18,12020,1703,13723
2,13,1,1,2013,19,12078,1840,13918
2,13,1,1,2013,20,11937,1886,13823
2,13,1,1,2013,21,11647,1886,13533
2,13,1,1,2013,22,11434,1867,13301
2,13,1,1,2013,23,11122,1782,12904
2,13,1,1,2013,24,11067,1695,12762
1,14,1,1,2013,1,10907,1449,12356
1,14,1,1,2013,2,10919,1329,12248
1,14,1,1,2013,3,10779,1271,12050
1,14,1,1,2013,4,10852,1254,12106
1,14,1,1,2013,5,11092,1260,12352
1,14,1,1,2013,6,11531,1380,12911
1,14,1,1,2013,7,12761,1541,14302
1,14,1,1,2013,8,13490,1691,15181
1,14,1,1,2013,9,14008,1950,15958
1,14,1,1,2013,10,14349,2238,16587
1,14,1,1,2013,11,14496,2433,16929
1,14,1,1,2013,12,14327,2478,16805
1,14,1,1,2013,13,14189,2466,16655
1,14,1,1,2013,14,13608,2361,15969
1,14,1,1,2013,15,13523,2381,15904
1,14,1,1,2013,16,13645,2374,16019
1,14,1,1,2013,17,13097,2359,15456
1,14,1,1,2013,18,12040,2323,14363
1,14,1,1,2013,19,11865,2358,14223
1,14,1,1,2013,20,11973,2353,14326
1,14,1,1,2013,21,11737,2279,14016
1,14,1,1,2013,22,11615,2064,13679
1,14,1,1,2013,23,11100,1935,13035
1,14,1,1,2013,24,11109,1686,12795
1,15,1,1,2013,1,11181,1539,12720
1,15,1,1,2013,2,11046,1410,12456
1,15,1,1,2013,3,11082,1341,12423
1,15,1,1,2013,4,10955,1302,12257
1,15,1,1,2013,5,11333,1323,12656
1,15,1,1,2013,6,11991,1430,13421
1,15,1,1,2013,7,12777,1621,14398
1,15,1,1,2013,8,13864,1757,15621
1,15,1,1,2013,9,14197,1985,16182
1,15,1,1,2013,10,14314,2273,16587
1,15,1,1,2013,11,14348,2458,16806
1,15,1,1,2013,12,14281,2492,16773
1,15,1,1,2013,13,13976,2527,16503
1,15,1,1,2013,14,13845,2412,16257
1,15,1,1,2013,15,13819,2453,16272
1,15,1,1,2013,16,13606,2452,16058
1,15,1,1,2013,17,13702,2460,16162
1,15,1,1,2013,18,12428,2444,14872
1,15,1,1,2013,19,12748,2479,15227
1,15,1,1,2013,20,12691,2475,15166
1,15,1,1,2013,21,12421,2267,14688
1,15,1,1,2013,22,12037,2138,14175
1,15,1,1,2013,23,11515,1929,13444
1,15,1,1,2013,24,11677,1746,13423
1,16,1,1,2013,1,11527,1537,13064
1,16,1,1,2013,2,11476,1403,12879
1,16,1,1,2013,3,11334,1339,12673
1,16,1,1,2013,4,11461,1307,12768
1,16,1,1,2013,5,11747,1317,13064
1,16,1,1,2013,6,12257,1433,13690
1,16,1,1,2013,7,13226,1634,14860
1,16,1,1,2013,8,14076,1795,15871
1,16,1,1,2013,9,14365,2011,16376
1,16,1,1,2013,10,14475,2284,16759
1,16,1,1,2013,11,14383,2492,16875
1,16,1,1,2013,12,14343,2550,16893
1,16,1,1,2013,13,13865,2540,16405
1,16,1,1,2013,14,13613,2434,16047
1,16,1,1,2013,15,13544,2428,15972
1,16,1,1,2013,16,13764,2405,16169
1,16,1,1,2013,17,13060,2360,15420
1,16,1,1,2013,18,12461,2314,14775
1,16,1,1,2013,19,12545,2406,14951
1,16,1,1,2013,20,12812,2425,15237
1,16,1,1,2013,21,12133,2310,14443
1,16,1,1,2013,22,11624,2138,13762
1,16,1,1,2013,23,11792,1968,13760
1,16,1,1,2013,24,11534,1786,13320
1,17,1,1,2013,1,11538,1545,13083
1,17,1,1,2013,2,11367,1416,12783
1,17,1,1,2013,3,11526,1350,12876
1,17,1,1,2013,4,11567,1325,12892
1,17,1,1,2013,5,11791,1325,13116
1,17,1,1,2013,6,12509,1437,13946
1,17,1,1,2013,7,13323,1635,14958
1,17,1,1,2013,8,13947,1787,15734
1,17,1,1,2013,9,14228,2026,16254
1,17,1,1,2013,10,14327,2316,16643
1,17,1,1,2013,11,14146,2490,16636
1,17,1,1,2013,12,13931,2540,16471
1,17,1,1,2013,13,13081,2532,15613
1,17,1,1,2013,14,12946,2385,15331
1,17,1,1,2013,15,12905,2403,15308
1,17,1,1,2013,16,12968,2409,15377
1,17,1,1,2013,17,12681,2408,15089
1,17,1,1,2013,18,11603,2369,13972
1,17,1,1,2013,19,12623,2408,15031
1,17,1,1,2013,20,13094,2409,15503
1,17,1,1,2013,21,12651,2266,14917
1,17,1,1,2013,22,12045,2129,14174
1,17,1,1,2013,23,11747,1954,13701
1,17,1,1,2013,24,11471,1761,13232
1,18,1,1,2013,1,11366,1543,12909
1,18,1,1,2013,2,11417,1406,12823
1,18,1,1,2013,3,11394,1348,12742
1,18,1,1,2013,4,11595,1316,12911
1,18,1,1,2013,5,11705,1325,13030
1,18,1,1,2013,6,12120,1431,13551
1,18,1,1,2013,7,13032,1628,14660
1,18,1,1,2013,8,13967,1815,15782
1,18,1,1,2013,9,13971,2035,16006
1,18,1,1,2013,10,13916,2281,16197
1,18,1,1,2013,11,13749,2475,16224
1,18,1,1,2013,12,13611,2488,16099
1,18,1,1,2013,13,13163,2451,15614
1,18,1,1,2013,14,12711,2297,15008
1,18,1,1,2013,15,12286,2284,14570
1,18,1,1,2013,16,12395,2267,14662
1,18,1,1,2013,17,12058,2262,14320
1,18,1,1,2013,18,11336,2242,13578
1,18,1,1,2013,19,11780,2306,14086
1,18,1,1,2013,20,11999,2324,14323
1,18,1,1,2013,21,11563,2155,13718
1,18,1,1,2013,22,11213,1972,13185
1,18,1,1,2013,23,11223,1771,12994
1,18,1,1,2013,24,11289,1564,12853
2,19,1,1,2013,1,11112,1362,12474
2,19,1,1,2013,2,10951,1236,12187
2,19,1,1,2013,3,11027,1184,12211
2,19,1,1,2013,4,10956,1152,12108
2,19,1,1,2013,5,11060,1154,12214
2,19,1,1,2013,6,11499,1260,12759
2,19,1,1,2013,7,11809,1411,13220
2,19,1,1,2013,8,13066,1548,14614
2,19,1,1,2013,9,13633,1774,15407
2,19,1,1,2013,10,13934,2032,15966
2,19,1,1,2013,11,13971,2172,16143
2,19,1,1,2013,12,13853,2174,16027
2,19,1,1,2013,13,13332,2157,15489
2,19,1,1,2013,14,13235,2024,15259
2,19,1,1,2013,15,13265,2013,15278
2,19,1,1,2013,16,13335,2014,15349
2,19,1,1,2013,17,12918,2006,14924
2,19,1,1,2013,18,11854,2010,13864
2,19,1,1,2013,19,12445,2122,14567
2,19,1,1,2013,20,12280,2166,14446
2,19,1,1,2013,21,11799,2081,13880
2,19,1,1,2013,22,11333,1933,13266
2,19,1,1,2013,23,11686,1749,13435
2,19,1,1,2013,24,11490,1558,13048
2,20,1,1,2013,1,11393,1368,12761
2,20,1,1,2013,2,11171,1241,12412
2,20,1,1,2013,3,11211,1173,12384
2,20,1,1,2013,4,10966,1136,12102
2,20,1,1,2013,5,11242,1147,12389
2,20,1,1,2013,6,11557,1238,12795
2,20,1,1,2013,7,12034,1313,13347
2,20,1,1,2013,8,13533,1369,14902
2,20,1,1,2013,9,13483,1513,14996
2,20,1,1,2013,10,14145,1659,15804
2,20,1,1,2013,11,14193,1773,15966
2,20,1,1,2013,12,14075,1791,15866
2,20,1,1,2013,13,13794,1788,15582
2,20,1,1,2013,14,13298,1704,15002
2,20,1,1,2013,15,13209,1630,14839
2,20,1,1,2013,16,13259,1581,14840
2,20,1,1,2013,17,12754,1576,14330
2,20,1,1,2013,18,11589,1611,13200
2,20,1,1,2013,19,12032,1778,13810
2,20,1,1,2013,20,12153,1895,14048
2,20,1,1,2013,21,11851,1854,13705
2,20,1,1,2013,22,11511,1794,13305
2,20,1,1,2013,23,11208,1697,12905
2,20,1,1,2013,24,11268,1538,12806
1,21,1,1,2013,1,11252,1334,12586
1,21,1,1,2013,2,10872,1215,12087
1,21,1,1,2013,3,11014,1161,12175
1,21,1,1,2013,4,11148,1125,12273
1,21,1,1,2013,5,11359,1149,12508
1,21,1,1,2013,6,11943,1273,13216
1,21,1,1,2013,7,12706,1483,14189
1,21,1,1,2013,8,13455,1642,15097
1,21,1,1,2013,9,13955,1889,15844
1,21,1,1,2013,10,13976,2163,16139
1,21,1,1,2013,11,14143,2315,16458
1,21,1,1,2013,12,13926,2364,16290
1,21,1,1,2013,13,13698,2328,16026
1,21,1,1,2013,14,13362,2242,15604
1,21,1,1,2013,15,13311,2255,15566
1,21,1,1,2013,16,13283,2252,15535
1,21,1,1,2013,17,12905,2246,15151
1,21,1,1,2013,18,11737,2247,13984
1,21,1,1,2013,19,12283,2274,14557
1,21,1,1,2013,20,12395,2318,14713
1,21,1,1,2013,21,12156,2139,14295
1,21,1,1,2013,22,11653,1981,13634
1,21,1,1,2013,23,11424,1788,13212
1,21,1,1,2013,24,11728,1568,13296
1,22,1,1,2013,1,11281,1406,12687
1,22,1,1,2013,2,11150,1287,12437
1,22,1,1,2013,3,11139,1213,12352
1,22,1,1,2013,4,11276,1186,12462
1,22,1,1,2013,5,11529,1213,12742
1,22,1,1,2013,6,11756,1339,13095
1,22,1,1,2013,7,12663,1557,14220
1,22,1,1,2013,8,13571,1737,15308
1,22,1,1,2013,9,14187,1974,16161
1,22,1,1,2013,10,14267,2238,16505
